article_id,Year,Type,Keywords**,Title,Authors,First Author,Retrieved,Analysis Theme,LLMs Used,Sample Size of Personas/Profiles,Human Participants?, Statistical Methods Used,Effect of Personas on LLM Output,Summary of Results,Prompt Architecture/Methodology,Research Questions,Review Research Question      
A55,2024,Novel method or framework for persona implementation,"PersonaGym, PersonaScore, persona agents, LLM evaluation framework, decision theory, dynamic evaluation, role-playing benchmarks, faithful persona adherence",PersonaGym: Evaluating Persona Agents and LLMs,"Samuel, V. and Zou, H. P. and Zhou, Y. and Chaudhari, S. and Kalyan, A. and Rajpurohit, T. and Murahari, V.",Samuel,Y,quantitative,"GPT-3.5, GPT-4.1, GPT-4.5, Claude 3 Haiku, Claude 3.5 Sonnet, LLaMA-2-13B, LLaMA-2-70B, LLaMA-3-8B, LLaMA-3.3-70B, DeepSeek-V3",200,"Y - 5 expert annotators with university-level English proficiency evaluated 1,500 model responses across 100 personas and 3 models to validate PersonaScore alignment with human judgment","- PersonaScore (ensemble average of 1–5 rubric scores across 5 tasks)
- Spearman rank correlation between PersonaScore and human judgment
- Kendall-Tau correlation
- Bootstrap significance testing with Fisher's z-transformation (95% CI)
- Fleiss' Kappa for inter-annotator agreement
- Descriptive statistics (mean ± SD per model per task)",Mixed,"Samuel et al. introduce PersonaGym, the first dynamic evaluation framework for LLM persona agents, along with PersonaScore, an automatic human-aligned metric grounded in decision theory that assesses agents across five tasks: Expected Action, Action Justification, Linguistic Habits, Persona Consistency, and Toxicity Control. Evaluation of 10 LLMs across 200 GPT-4o-generated personas and 10,000 questions reveals that model size does not reliably correlate with persona agent capability — LLaMA-3-8B outperforms LLaMA-3.3-70B, and Claude 3 Haiku shows the highest refusal rate for persona-role requests. PersonaScore correlates strongly with human judgments (average Spearman ρ = 75.1%), validating it as a scalable evaluation tool for persona agent research.",System prompt for persona agent instantiation: 'Adopt the identity of persona. Answer the questions while staying in strict accordance with the nature of this identity.' — following Gupta et al. (2024). Dynamic environment selection uses GPT-4o to choose relevant environments from 150 options; task-specific questions are generated by an LLM reasoner; evaluation rubrics are augmented with LLM-generated score examples calibrated to each persona-question pair.,"Can a dynamic, decision-theory-grounded evaluation framework (PersonaGym) reliably assess LLM persona agent fidelity across diverse personas and environments, and how do current LLMs compare on multi-dimensional persona agent capabilities?",1 and 2
A56,2023,Evaluation of persona simulation and implementation,"Turing experiment, human simulation, language models, GPT, behavioral experiments, Ultimatum Game, Milgram Shock, Garden Path sentences, Wisdom of Crowds, distortion",Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,"Aher, Gati V.; Arriaga, Rosa I.; Kalai, Adam Tauman",Aher,Y,quantitative,"text-ada-001, text-babbage-001, text-curie-001, text-davinci-001, text-davinci-002, text-davinci-003, gpt-3.5-turbo, gpt-4",1000,N,"- Validity rate (percentage of coherent completions)
- Pearson correlation of acceptance probabilities across offer conditions
- Comparison of simulated vs. human mean acceptance rates
- Gender-difference analysis of acceptance rate distributions",Mixed,"Aher et al. introduce the Turing Experiment (TE) framework for evaluating how faithfully LLMs simulate populations of human participants across classic behavioral experiments. The first three TEs (Ultimatum Game, Garden Path Sentences, Milgram Shock) were successfully replicated by larger GPT models, demonstrating qualitative reproduction of known effects including gender differences. However, the Wisdom of Crowds TE revealed a 'hyper-accuracy distortion' in ChatGPT and GPT-4, where models produced unrealistically precise answers, exposing a systematic failure mode linked to alignment procedures.","Zero-shot simulation prompts where participant identity is encoded via surname and gender title (Mr./Ms./Mx.) drawn from a racially diverse census list; experimental conditions and stimuli are appended as scenario text; k-choice prompts used to elicit binary decisions, with free-response prompts for narrative behavior in Milgram TE.","To what extent can LLMs simulate multiple human participants and replicate findings from classic behavioral experiments? What systematic distortions arise in LLM simulations of human behavior, and how do they vary across model size?",persona effects on LLM/agent output
A57,2024,Novel method or framework for persona implementation,"pluralistic alignment, synthetic personas, preference dataset, role-playing, LLM evaluation, RLHF, user diversity, PERSONA benchmark",PERSONA: A Reproducible Testbed for Pluralistic Alignment,"Castricato, L. and Lile, N. and Rafailov, R. and Franken, J.-P. and Finn, C.",Castricato,Y,mixed,"GPT-4, GPT-3.5, Llama-3 70b, Qwen 2 72b, Mistral Large",1586,"Y - 80 human participants recruited via Prolific to evaluate 20 personas across 10 questions each, providing inter-annotator agreement baseline","- Cohen's Kappa inter-annotator agreement (human vs. LLM persona annotators)
- Confusion matrix analysis of pairwise persona agreement
- Leave-one-out attribute analysis
- Accuracy across persona prediction conditions (baseline, chain-of-thought, output-only, persona summary)",Positive,"Castricato et al. introduce PERSONA, a reproducible testbed for evaluating pluralistic alignment of LLMs, generating 1,586 synthetic personas from US Census data with demographic and psychoanalytic attributes, paired with 3,868 prompts and 317,200 preference pairs. Human evaluation demonstrates that GPT-4 achieves substantial agreement (Cohen's Kappa 0.6–0.8) with human annotators when role-playing diverse personas, validating the synthetic testbed. The persona summary conditioning approach consistently outperformed baseline and chain-of-thought methods across models, and the benchmark reveals that no single model uniformly achieves pluralistic alignment.","Two-stage pipeline: (1) US Census PUMS sampling + GPT-4 consistency filtering to generate demographic persona profiles enriched with Big Five personality traits, core values, quirks, and psychoanalytic attributes; (2) Direct Principle Feedback (DPF) prompting where LLM first generates a baseline response without persona, then rewrites it conditioned on the full persona profile; persona summary variant first extracts persona-relevant content before answering.","How can we create a reproducible, scalable testbed for evaluating pluralistic alignment of LLMs? Can LLMs effectively role-play diverse user personas in a way that matches human preferences? Which prompt architectures best enable persona-conditioned response generation?",persona effects on LLM/agent output
A58,2026,Evaluation of persona simulation and implementation,"Generative AI, persona prompting, synthetic survey, subgroup fidelity, World Values Survey (WVS)",Assessing the Reliability of Persona-Conditioned LLMs as Synthetic Survey Respondents,"Taday Morocho, E. E. and Cima, L. and Fagni, T. and Avvenuti, M. and Cresci, S.",Taday Morocho,Y,quantitative,"Llama-2-13B, Qwen3-4B",2596,N,"- Hard Similarity (HS): exact match accuracy across respondent-item pairs
- Soft Similarity (SS): Normalized Match Distance for ordinal items
- Wilcoxon signed-rank test for paired persona-based vs. vanilla and vs. random-guesser comparisons
- Normalized entropy for subgroup dispersion checks
- Subgroup stratification across 8 demographic attributes",Negative,"Taday Morocho et al. evaluate multi-attribute persona prompting across 70K+ respondent-item instances from the US World Values Survey Wave 7, comparing persona-conditioned LLMs against matched vanilla (no-persona) and random-guesser baselines. They find that persona prompting does not yield consistent aggregate improvement over the vanilla baseline; for Llama-2-13B it slightly reduces performance, while Qwen3-4B shows only marginal gains. Persona effects are highly heterogeneous—concentrated in a small subset of survey items and in low-support demographic subgroups—demonstrating that demographic conditioning can redistribute errors in ways that undermine subgroup fidelity.","YAML-templated instruction-style prompts with a system message followed by a user query; persona-based (PB) condition prepends a bulleted demographic description (sex, age, education, employment status, occupation, income, religion, ethnicity) instructing the model to 'answer strictly from this persona's point of view'; vanilla (V) condition omits all demographic clauses; response options enumerated as (1)-(K) with strict single-number output format; temperature 0.3, max 40 new tokens.",Does multi-attribute persona prompting improve LLM survey alignment (external validity) and subgroup fidelity relative to a matched vanilla baseline? For which survey items and demographic subgroups does persona conditioning help or harm performance?,persona effects on LLM/agent output
A59,2025,Evaluation of persona simulation and implementation,"digital personas, LLM survey respondents, LISS panel, retrieval-augmented personas, distributional alignment, subgroup equity, longitudinal survey, persona reliability",When Can Digital Personas Reliably Approximate Human Survey Findings?,"Jia, M. and Chen, Y. and Sharma, D. and Diaz-Rodriguez, J.",Jia,Y,quantitative,"GPT-5.4, Gemini 3 Flash, Claude Haiku 4.5",500,N,"- Weighted F1-score (question-level exact match)
- Exact match rate (respondent-level)
- Jensen-Shannon Divergence (JSD) for question-level distributional alignment
- Maximum Mean Discrepancy (MMD) for respondent-level distributional alignment
- Demographic Parity Index (DPI) for equity analysis
- Adjusted Rand Index (ARI) for clustering agreement
- Logistic regression, mixed-effects logistic regression, decision trees, random forests, XGBoost for predictors of accuracy
- SHAP values for feature importance
- Bootstrapped confidence intervals",Mixed,"Jia et al. construct digital personas from 500 LISS panel respondents using background variables and pre-2023 survey histories, then evaluate four persona architectures (background only, structured profile, profile+lexical retrieval, profile+semantic retrieval) across three LLMs on held-out post-cutoff survey answers. Distributional alignment is the clearest advantage of digital personas, particularly for stable domains like family/household, politics/values, and religion/ethnicity, while individual-level exact-match prediction remains limited. Retrieval-augmented architectures provide the largest gains, but model choice matters less than persona architecture; performance is weakest for subjective, heterogeneous, or rare responses.",Four persona architectures injected as prompt context: (1) Background — 34 sociodemographic variables only; (2) Profile — background plus GPT-5.4-generated natural-language summary of prior survey answers; (3) Profile+Lexical Retrieval — profile augmented with K most lexically similar prior answer rows; (4) Profile+Semantic Retrieval — profile augmented with K most semantically similar prior answer rows via embedding cosine similarity; target questions and admissible answer categories appended; LLM returns predicted answer codes.,"When can digital personas reliably approximate human survey findings? How does reliability vary across persona architectures, LLMs, survey domains, question types, and demographic subgroups? What features of the response space predict when personas will or will not match human answers?",persona effects on LLM/agent output
A60,2026,Evaluation of persona simulation and implementation,"temporal stability, LLM personas, multi-agent simulation, ADHD, dual-assessment, self-report, observer-report, between-conversation stability, within-conversation stability",Stable Personas: Dual-Assessment of Temporal Stability in LLM-Based Human Simulation,"Gonnermann-Muller, J. and Haase, J. and Leins, N. and Kosch, T. and Pokutta, S.",Gonnermann-Muller,Y,quantitative,"Claude Sonnet 4.5, DeepSeek V3.2, GPT 5.1, GPT OSS 120B, Gemini 3 Pro, Grok 4.1, Llama 3.3 70B",4,"Y - 5 M.Sc.-level psychologists independently rated 20 sample narratives to validate LLM observer ratings (human-LLM convergent validity ICC(2,1) = 0.95)","- Intraclass Correlation Coefficient ICC(2,1) for inter-rater reliability
- Standard deviation (SD) of ADHD Index scores as stability measure
- Linear mixed-effects models for variance decomposition (persona, model, prompt, residual, conversation, turn)
- Descriptive statistics (M, SD) by persona intensity and model",Mixed,"Gonnermann-Müller et al. assess temporal stability of LLM-based persona simulation using a dual-assessment framework (self-report + LLM observer ratings) across 7 LLMs, 4 ADHD persona intensities, 3 prompt formats, and two experiments. Self-reports remain highly stable both between and within conversations, with persona assignment explaining over 90% of variance, while observer-rated persona expression declines during extended interactions for high- and moderate-intensity personas. The findings establish that LLMs produce reliable self-described persona characteristics but reveal observable behavioral decay as a boundary condition for multi-agent simulation.","Three semantically equivalent prompt formats: (1) text-based prompt specifying persona characteristics, role, and goal with intensity expressed via frequency adverbs; (2) scale-based prompt encoding attributes using 7-point Likert ratings; (3) paraphrased/reworded semantically equivalent variant with altered information order; ADHD persona intensity (high/moderate/low/default) operationalized via DSM-5/ICD-10 diagnostic criteria expressed as behavioral descriptors; neutral conversation partner instructed to ask open questions without sharing opinions.",How stably do LLMs maintain assigned personas across independent conversations (between-conversation stability) and throughout extended multi-turn conversations (within-conversation stability)? Do self-reported and observer-rated assessments of persona stability converge or diverge?,persona effects on LLM/agent output
A61,2024,Evaluation of persona simulation and implementation,"political bias, moral foundations theory, LLM personas, ideological simulation, in-context prompting, synthetic social networks, agent-centric simulation, open-source LLMs",Political Bias in LLMs: Unaligned Moral Values in Agent-centric Simulations,"Munker, S.",Munker,Y,quantitative,"Gemma 7B, Llama2 7B, Llama2 70B, Llama3 1:8B, Llama3 70B, Mistral 7B, Mixtral 8x22B, Mixtral 8x7B, Phi3 14B, Gemma2 27B, Qwen 72B, Qwen2 72B",4,N,"- Response variance across 50 repeated trials per model-persona combination
- Mean squared error (absolute difference) between model and human moral foundation scores
- Cross-human alignment comparison across three human baseline datasets (anonymous, US-Americans, South Koreans)",Negative,"Münker investigates how persona-prompted open-source LLMs align with human political ideologies using the Moral Foundations Theory Questionnaire, finding high response variance across repetitions and inconsistent ideological differentiation. Models show a systematic left-leaning bias, with mean distance to liberal human baselines substantially lower than to conservative baselines, and conservative persona prompts particularly fail to elicit conservative-aligned responses. Model size does not reliably predict better alignment, and cross-cultural analysis reveals additional failures for South Korean participant data, demonstrating that simple in-context persona prompting is insufficient to represent genuine ideological diversity.",Minimal system prompt specifying political and ethical ideology ('You are a politically and ethically {Conservative|Moderate|Liberal}') prepended to each MFQ questionnaire item; each question presented individually with the task description and 6-point Likert response options; base condition omits the persona descriptor entirely; 50 repeated samples per model-persona combination.,RQ1: How consistently do LLMs perform when surveyed with/without political personas through in-context prompting? RQ2: How closely do LLMs align with human participant groups from different ideological orientations through in-context political persona prompting?,persona effects on LLM/agent output
A62,2026,Novel method or framework for persona implementation,"Persona inference, Synthetic respondents, Large language models, Social simulation, Social Media",Persona-Based Simulation of Human Opinion at Population Scale,"Li, M. and Conrad, F. G.",Li,Y,quantitative,"Gemma-3-4B, LLaMA-3.1-8B, Gemma-3-12B, Gemma-3-27B, GPT-5-mini, GPT-5.2",,Y - Ipsos KnowledgePanel members who linked public social media accounts (Reddit/Twitter/X) to survey responses,"- Mean per-user inference accuracy
- Position-weighted per-user mean composite scores
- Off-by-one rate
- Box plot distributional comparison
- Calibration weights for population benchmarking
- Within-cluster trend alignment with polling benchmarks",Positive,"The SPIRIT framework infers psychologically grounded, semi-structured personas from social media text by combining structured attributes (personality traits, world beliefs) with unstructured narrative text, then uses these personas to prompt LLMs to answer survey questions as specific individuals. SPIRIT personas consistently outperform demographic personas in user-level inference accuracy (8-9 percentage points) across all tested models, and produce broader, more human-like response distributions rather than the homogenized outputs of demographic prompting. A persona bank derived from the Ipsos KnowledgePanel can serve as a virtual respondent panel that reproduces polling benchmark trends on salient political issues after calibration weighting.","Semi-structured persona profiles inferred from user social media posts are injected as context into LLM prompts; the LLM is instructed to respond to survey questions as the individual represented by the persona. Demographic persona baseline uses seven demographic variables (age, race, gender, political ideology, income, education, urbanicity) as a comparison condition.","(1) Can psychologically grounded, semi-structured personas inferred from social media text better recover individual self-reported survey responses than demographic personas? (2) Do SPIRIT persona banks reproduce human-like heterogeneity in response distributions at the population level? (3) Can persona banks function as virtual respondent panels for studying stable attitudes and time-sensitive public opinion?",persona effects on LLM/agent output
A63,2025,Evaluation of persona simulation and implementation,"persona conditioning, clinical language models, behavioral priors, clinical decision-making, patient safety, medical AI",The Persona Paradox: Medical Personas as Behavioral Priors in Clinical Language Models,"Abdullahi, T. and Ghosh, S. and Fraser, H. S. and Tramontini, D. L. and Abbasi, A. and Bourjeily, G. and Singh, R.",Abdullahi,Y,mixed,"HuatuoGPT-o1-8B, HuatuoGPT-o1-70B, HuatuoGPT-o1-7B, HuatuoGPT-o1-72B, MedGemma-27B",6,Y - three clinicians (two attending physicians with 10+ years experience and one recent medical graduate) conducted blinded preference evaluations,"- Accuracy (proportion of correct predictions)
- Expected Calibration Error (ECE)
- Consistency Rate (CR)
- Risk propensity (frequency of high-urgency labels)
- Risk sensitivity (ratio of Type I to Type II errors)
- Mean Reciprocal Rank (MRR) for LLM judge rankings
- McNemar's non-parametric test with continuity correction (p < 0.05)
- Paired t-test on MRR scores
- Cohen's kappa for inter-annotator agreement",Mixed,"Medical persona conditioning (e.g., ED physician, ED nurse) produces systematic but non-monotonic effects on clinical LLM behavior: it improves accuracy and calibration on emergency triage tasks by up to ~20 percentage points but degrades performance in primary-care settings by comparable margins. Interaction style (bold vs. cautious) modulates risk propensity and sensitivity but in inconsistent, model-dependent directions, providing no reliable control over clinical risk posture. Human clinicians show only moderate agreement (average Cohen's kappa = 0.43) with LLM judge rankings on safety compliance, indicating that personas function as context-dependent behavioral priors introducing trade-offs rather than guaranteeing safer or more expert behavior.","Persona conditioning is applied via a single-sentence system-level instruction using the template 'You are a {persona}.' Personas are defined along two orthogonal axes: professional role (ED physician, ED nurse, Helpful Assistant, No Persona) and interaction style (Bold, Cautious), applied exclusively to the ED physician role. All other prompt elements are held constant across conditions.",RQ1: How does persona conditioning affect clinical performance and safety? RQ2: How do interaction styles influence model risk posture? RQ3: How do LLM judges and clinicians perceive persona-induced differences?,1 and 2
A64,2024,Evaluation of persona simulation and implementation,"large language models, persona prompting, moral foundations, value judgments, inertia, role-play, steerability",When Prompting Fails to Sway: Inertia in Moral and Value Judgments of Large Language Models,"Lee, B. W. and Lee, Y. and Cho, H.",Lee,Y,quantitative,"Claude 3 Opus, Claude 3 Sonnet, Claude 3 Haiku, GPT-4o, GPT-3.5 Turbo, LLaMA 3 70B Instruct, LLaMA 3 8B Instruct",200,N,"- Inertia Index I(d) = 1 - H(p_d)/log2(6) based on Shannon entropy
- Jensen-Shannon Divergence (JSD) for steerability between no-persona and persona-injected distributions
- Spearman rank correlation between baseline and persona conditions
- Top-2 concentration percentage
- MRAT-corrected value orderings",Negative,"Despite persona prompting with 200 demographically diverse profiles per questionnaire, LLMs show a persistent inertia in moral and value judgments: approximately 60% of responses converge on a single option and on some dimensions over 95%, indicating that demographic personas fail to produce meaningfully divergent moral outputs. Harm avoidance and fairness dimensions show the highest inertia and lowest steerability, while ingroup, authority, and purity dimensions are more steerable. The ordering of value preferences is nearly identical across persona conditions and random seeds (inter-run Spearman correlation >0.99), revealing stable internal biases baked into model training rather than authentic persona adaptation.","Demographic persona descriptions are generated by randomly sampling attributes (age, sex, income, marital status, education, employment, occupation, ethnic group, religious denomination, country) from large-scale survey distributions (primarily World Values Survey). Each question from the MFQ-30 or PVQ-RR is paired with a randomly generated persona; a role-play instruction prefix ('Let's role-play. I will ask you a question and you must give me an answer from the person's perspective.') is followed by the persona description and questionnaire item. A 'no persona' baseline is included as a reference.","(1) Do LLMs produce varied moral and value-oriented responses when prompted with diverse demographic personas? (2) What is the magnitude and direction of inertia in LLM value judgments across different moral dimensions? (3) Which value dimensions are more or less steerable by persona prompting, and why?",persona effects on LLM/agent output
A65,2025,Novel method or framework for persona implementation,"LLM role-playing agents, persona refinement, behavioral alignment, cognitive divergence, Theory of Mind, human simulation",DPRF: A Generalizable Dynamic Persona Refinement Framework for Optimizing Behavior Alignment Between Personalized LLM Role-Playing Agents and Humans,"Yao, B. and Sun, B. and Dong, Y. and Lu, Y. and Wang, D.",Yao,Y,quantitative,"Llama-3.2 (3B), Qwen-2.5 (7B), Mistral (7B), DeepSeek-Distill-Llama (8B), Claude 3.7 Sonnet",,N,"- Sentence Embedding Similarity (SentenceTransformers)
- ROUGE-L F1
- BERTScore F1
- Relative improvement percentage over baseline persona
- Ablation study comparing with-persona vs. no-persona behavior analysis variants",Positive,"The Dynamic Persona Refinement Framework (DPRF) iteratively improves LLM role-playing agent personas by identifying cognitive divergences between generated behaviors and human ground truth, then automatically refining the persona profile to address those divergences. Evaluated across four scenarios (formal debates, mental health social media posts, movie reviews, public interviews) with five LLMs, DPRF consistently improves behavioral alignment over baseline personas, with Claude 3.7-Sonnet achieving the largest gains (e.g., 292.1% improvement in Sentence Embedding Similarity on the DepSeverity dataset). The optimal behavior analysis strategy is task-dependent: free-form analysis excels in emotion-centric tasks while Theory of Mind-grounded structured analysis is superior for cognitively complex, multi-dimensional reasoning tasks.","Three-agent iterative pipeline: (1) a Role-Playing Agent (RPA) receives the current persona profile and task context and generates behavioral output; (2) a Behavior Analysis Agent (BAA) compares generated output to human ground truth using either free-form or Theory of Mind-structured analysis (beliefs, goals, intentions, emotions, knowledge) to produce a divergence summary; (3) a Persona Refinement Agent (PRA) takes the current persona, divergence analysis, and task context to generate a revised persona. The process iterates until convergence or a maximum iteration count is reached.",(1) Can DPRF consistently improve the behavioral alignment between LLM role-playing agents and human ground truth across diverse domains and models? (2) Does theory-grounded structured behavior analysis outperform free-form analysis for persona refinement? (3) How does DPRF generalize across different LLM backbones and behavioral scenarios?,persona effects on LLM/agent output
A66,2025,Novel method or framework for persona implementation,"persona consistency, role-playing, contrastive learning, chain of persona, self-play alignment, LLM fine-tuning",Enhancing Persona Consistency for LLMs Role-Playing using Persona-Aware Contrastive Learning,"Ji, K. and Lian, Y. and Li, L. and Gao, J. and Li, W. and Dai, B.",Ji,Y,quantitative,"Qwen-7B, Baichuan2-7B, CharacterGLM-6B, GPT-3.5, GPT-4",77,Y - human expert evaluation conducted,"- CharacterRM reward model scoring (CharacterEval benchmark)
- GPT-4 automated evaluation across 12 metrics (Fluency, Coherency, Consistency, Knowledge-Exposure, Knowledge-Accuracy, Knowledge-Hallucination, Persona-Behavior, Persona-Utterance, Human-Likeness, Communication Skills, Expression Diversity, Empathy)
- Ablation study (COP only vs. CSPA only vs. both)
- Transfer setting zero-shot evaluation on unseen roles",Positive,"Persona-Aware Contrastive Learning (PCL) combines a chain-of-persona (COP) self-reflection prompt that guides the model to conduct self-questioning based on role characteristics before responding, with a contrastive self-play alignment (CSPA) stage that treats responses generated with versus without the role profile as preference pairs for DPO training. Applied to both black-box and white-box LLMs, PCL significantly outperforms vanilla ICL and SFT baselines on CharacterEval across all three evaluation dimensions, with 7B-scale models achieving performance comparable to GPT-3.5. The method generalizes to unseen roles in zero-shot transfer settings and preserves general knowledge benchmarks.",Chain of Persona (COP): a system-level role-playing expert instruction followed by an explicit directive to perform 5 rounds of self-questioning and self-answering based on the historical dialogue and character personality information before generating the final response. CSPA generates preference pairs by contrasting COP output (with role profile) against COP output without role profile and trains with DPO objective.,(1) Can an annotation-free contrastive learning framework improve persona consistency in LLM role-playing without requiring manually labeled preference data? (2) Does the chain-of-persona self-reflection mechanism improve alignment with role characteristics? (3) Does PCL generalize to unseen roles and preserve general knowledge capabilities?,persona effects on LLM/agent output
A67,2026,Novel method or framework for persona implementation,"memory-driven role-playing, persona knowledge utilization, LLM evaluation, role-playing benchmark, faithful role-playing",Memory-Driven Role-Playing: Evaluation and Enhancement of Persona Knowledge Utilization in LLMs,"Wang, K. and You, H. and Zhang, Y. and Wang, Z.",Wang,Y,quantitative,"Qwen3-0.6B, Qwen3-4B, Qwen3-8B, Qwen3-Max, GLM-4-9B-Chat, GLM-4.7, Llama-3-8B-Instruct, Llama-3.2-3B-Instruct, InternLM2.5-7B-Chat, GPT-5.2, DeepSeek-Chat, Doubao-Seed-1.6-250615",12,"Y - one bilingual annotator provided human ratings for LLM judge validation (100 instances per metric, 800 total)","- Eight Likert-style MREval metrics (1-10 scale): Source Invariance (SI), Alias Fidelity (AF), Facet Alignment (FA), Facet Utility (FU), Answer Leakage (AL), Controlled Response (CR), Memory-Aligned Coherence (MAC), Human-Like Enactment (HLE)
- LLM-as-a-judge (GPT-4.1-mini) with human calibration
- Pearson/Spearman/Kendall correlation between judge and human ratings
- Component ablation (Base vs. +Protocol vs. +Schema vs. MRPrompt)",Positive,"The Memory-Driven Role-Playing (MDRP) paradigm reframes faithful role-playing as a contextual memory retrieval problem, requiring models to treat persona knowledge as long-term memory (LTM) and dialogue context as short-term memory (STM) cues for selective recall. MRPrompt, which structures persona knowledge into a hierarchical Narrative Schema and adds a Magic-If Protocol to guide LTM-STM interfacing, consistently outperforms narrative and profile-card baselines across 12 LLMs on the bilingual MRBench benchmark. MRPrompt enables small open-source models (e.g., Qwen3-8B) to match or surpass much larger closed-source models, demonstrating that structured memory prompting can compensate for limited model scale.","MRPrompt consists of two components: (1) Narrative Schema — raw persona descriptions restructured into a hierarchical LTM format with identity fields, a global summary, core traits, and scene facets (each facet includes cue_phrases, social_role, emotional_state, behavior_pattern, thinking_pattern, time_scope, conflict_with_core); (2) Magic-If Protocol — an explicit inference-time LTM-STM interface that instructs the model to extract cues from STM (dialogue context), select the most relevant LTM facet, apply boundary anchors to avoid out-of-scope claims, and enact a coherent in-character response. Applied at inference time with no fine-tuning.",RQ1: How do small LLM backbones perform on the MDRP task using MRBench? RQ2: Does MRPrompt outperform baselines across diverse small LLMs? RQ3: What is the contribution of each MRPrompt component? RQ4: How does MRPrompt affect the gap between small-scale and closed-source LLMs on MDRP?,persona effects on LLM/agent output
A68,2026,Novel method or framework for persona implementation,"Synthetic Personas, Privacy Simulations, Large Language Models, Privacy Calculus, Bounded Rationality, Protection Motivation Theory",Text-Based Personas for Simulating User Privacy Decisions,"Fawaz, K. and Yi, R. and Suciu, O. and Khandelwal, R. and Harkous, H. and Taft, N. and Gruteser, M.",Fawaz,Y,quantitative,,,N,"- Individual-level accuracy (exact-match proportion per individual across evaluation questions)
- Total Variation Distance (TVD) for population-level distributional similarity
- TVComplement (1 - TVD) as similarity metric
- Macro average TVD across evaluation questions
- Iterative optimization convergence tracking across persona refinement iterations",Positive,"NARRIVA generates concise, text-based synthetic privacy personas by grounding them in users' historical privacy decision responses and established privacy theory frameworks (Privacy Calculus, Bounded Rationality, Protection Motivation Theory), then iteratively optimizes the persona narrative until it can consistently predict the user's privacy decisions. Grounding personas in behavioral histories rather than demographic stereotypes achieves up to 87% predictive accuracy on individual privacy decisions, improving 6-17 percentage points over a non-personalized LLM baseline, while using 80-95% fewer prompt tokens than raw in-context examples. Personas synthesized from a single survey generalize to reproduce statistical distributions of entirely different privacy studies, though transferability degrades over long temporal gaps.","Three-stage pipeline: (1) Generation — an LLM is prompted with a persona template (structured sections defined by privacy theory frameworks), a subset of the user's historical responses, and generation instructions to produce an initial text narrative persona; (2) Optimization — an iterative refinement loop generates candidate personas, selects the best-performing one against generation questions, and provides correction feedback for subsequent iterations until convergence; (3) Prediction — the optimized persona narrative plus a prediction prompt template is used to generate simulated answers to unseen evaluation questions.","RQ1: Can text-based personas effectively model individual-level preferences when simulating personalized privacy-related decisions? RQ2: Can concise, text-based synthetic personas capture real-world population characteristics to accurately represent population-level privacy perspectives? RQ3: Are these generated personas sufficiently general to predict population-level perspectives in completely independent studies?",persona effects on LLM/agent output
A69,2026,Evaluation of persona simulation and implementation,"Large Language Models, Generative AI, Creativity, Idea Generation, Prompting Strategies, fixation, knowledge partitioning, chain-of-thought",Examining and Addressing Barriers to Diversity in LLM-Generated Ideas,"Deng, Y. and Brucks, M. and Toubia, O.",Deng,Y,quantitative,,,Y - human participants recruited for idea generation studies to serve as comparison baselines for LLM diversity,"- Idea category diversity (hierarchical LLM-based content categorization pipeline)
- Within-individual idea accumulation slope (fixation measurement)
- Cosine similarity between idea embeddings
- Distinct n-gram scores
- Between-condition diversity comparisons (LLM vs. human, CoT vs. no-CoT, ordinary persona vs. creative entrepreneur persona)
- Post-stratified estimator for sampling bias correction",Positive,"Drawing on cognitive psychology, the paper identifies two mechanisms suppressing LLM idea diversity: fixation (early outputs constrain later generation) and knowledge aggregation (LLMs blend knowledge into a unified distribution rather than exhibiting the partitioned knowledge of individual humans). Chain-of-Thought prompting reduces fixation specifically in LLMs by interrupting the autoregressive elaboration pattern, while ordinary personas (e.g., a veterinarian or birdwatcher) improve knowledge partitioning by anchoring generation to distinct semantic regions better than 'creative entrepreneur' personas. Combining CoT with ordinary personas produces idea diversity that surpasses human group-level output, representing the first documented conditions under which LLMs exceed humans in collective idea diversity.","Persona modifier prompts assign LLMs a specific identity (ordinary backgrounds such as a veterinarian, artist, or traveler, versus creative entrepreneur identities) to serve as diverse sampling cues that anchor generation in distinct knowledge regions. Chain-of-Thought (CoT) prompting first elicits short idea titles, then explicitly instructs the model to revise them to be bolder and more distinct before expanding into full ideas. The two strategies are applied independently and in combination, with a no-persona, no-CoT baseline for comparison.","(1) Do LLMs experience fixation analogously to humans during idea generation, and does CoT mitigate this fixation specifically for LLMs? (2) Does lack of knowledge partitioning explain LLMs' limited collective idea diversity, and can ordinary personas restore it? (3) Can combining CoT and ordinary personas enable LLMs to surpass human levels of idea diversity?",persona effects on LLM/agent output
